3-neprikosnovennost-zhilishcha,brecht
64213098db3bdac0,antiphon
afeliya-v-cvetah,blok
aleksandr-galich-kogda,norcivilian
alisher-navai,norcivilian
all-our-programs-written-by,antiphon
and-here-we-sit,trotskikh
andrey-dementev-ty,norcivilian
anna-ahmatova,akhmatova
ballada-v-stile,satin
because-i-do,norcivilian
bednyy-drug-istomil,norcivilian
beeing-famous-isnt-nice,antiphon
bells,norcivilian
bezumie-pyshet-pod-tonkoy-koroyu,antiphon
bili-kopyta-peli,norcivilian
bogatstvu-vovse-ya,norcivilian
byl-domik-v,norcivilian
byla-zhara-lesa,norcivilian
byloe-ne-vykinut,yasnov
bystro-molodost-prohodit,norcivilian
byvayut-dni-korotkogo-pokoya,antiphon
byvayut-nochi-tolko,norcivilian
cat,fetsorn
cf65b2186a922674,antiphon
cheloveki-dney-poslednih,balmont
chem-bolshe-ya-lyublyu-lyudey-tem,antiphon
chem-pahnut-remesla,norcivilian
cherez-vosem-chasov,antiphon
chernyy-bog,antiphon
cherpatj-pri-vide-sebja,antiphon
chistyy-osenniy-veter,li-bo
chto-novyy-god,norcivilian
chto-takoe-sluchilos,norcivilian
chto-to-zhmetsja-v-grudi,antiphon
cocoon-is-in-the-cage,antiphoon
concert,fetsorn
could-you-imagine,antiphon
crossroads,fetsorn
cvetok-zasohshiy-bez,norcivilian
da-mne-stalo-luchshe,antiphon
dano-mne-telo,mandelstam
davay-poedem-v,norcivilian
david-samoylov-zinoviyu,samoylov
dekabr-no-ne,norcivilian
derjmo-vsplyvaet,posikov
deti-smotryat-na,slutsky
devil-in-me-wants-to,antiphon
devushka-pela-v,blok
dinamomashina,norcivilian
dlja-vseh-kto-zabyl,posikov
do-not-stand-at-my-grave-and-weep,harner
doktor-gde-sredstvo,antiphon
doktor-rabovladelets,antiphon
dolgo-shli-znoem-i,bashlachev
dont-have-a-name,antiphon
dont-spare-me-a-lot-of-time,akhmadullina
dorogi-prevratilis-v,pasternak
dve-ptichki-kak,norcivilian
ef0ff43c283efd6a,antiphon
ego-dvizheniya-kak-kraski,antiphon
english-lessons,fetsorn
es-ognetsi-bolorin,sevak
eshche-shumel-veselyy,tyutchev
esli-b-mog-po-lune,lorca
esli-beloe-na-belom,posikov
esli-ty-hochesh,norcivilian
est-dushi-gde,norcivilian
est-rechi-znachenie,lermontov
eto-forma-stiha-kogda,hjoftung
eto-poshlo-i-stydno,antiphon
etu-knigu-mne,norcivilian
every-morning-i-top-up,antiphon
evgeniy-evtushenko-day,norcivilian
evgeniy-evtushenko-staryy,norcivilian
failed-attempts-at-self-expression,antiphon
from-sunset-to-sunrize,antiphon
georg-trakl-v,trakl
golova-svini-na,norcivilian
gorkoy-rasplaty-zabvene,norcivilian
gospodi-day-mne-son,antiphon
got-no-feeling-in-my-head,antiphon
goy-ty-rus,norcivilian
guitar20191127,norcivilian
guitar20191208,norcivilian
guitar20241127,norcivilian
guitar20251125,norcivilian
happy-birthday,norcivilian
here-they-are-pale-sounds,blok
hotel-by-ya,norcivilian
how-do-you-do-little-girls,tsoy
